,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
0,2022-07-31,21:00,Trophée des Champions,Trophée des Champions,Sun,Home,W,4.0,0.0,Nantes,,,62.0,28000.0,Marquinhos,3-4-3,Orel Grinfeeld,Match Report,,15.0,8.0,,,1,1,2022,Paris Saint Germain
1,2022-08-06,21:00,Ligue 1,Matchweek 1,Sat,Away,W,5.0,0.0,Clermont Foot,2.6,0.3,61.0,12203.0,Marquinhos,3-4-3,Jeremy Stinat,Match Report,,18.0,12.0,12.7,1.0,0,0,2022,Paris Saint Germain
2,2022-08-13,21:00,Ligue 1,Matchweek 2,Sat,Home,W,5.0,2.0,Montpellier,3.5,0.7,58.0,,Marquinhos,3-4-1-2,Willy Delajod,Match Report,,18.0,8.0,17.8,3.0,1,2,2022,Paris Saint Germain
3,2022-08-21,20:45,Ligue 1,Matchweek 3,Sun,Away,W,7.0,1.0,Lille,3.9,1.7,52.0,,Marquinhos,3-4-3,Clément Turpin,Match Report,,16.0,9.0,11.5,0.0,0,0,2022,Paris Saint Germain
4,2022-08-28,20:45,Ligue 1,Matchweek 4,Sun,Home,D,1.0,1.0,Monaco,2.5,0.4,67.0,,Marquinhos,3-4-3,Benoît Bastien,Match Report,,17.0,4.0,18.2,0.0,1,1,2022,Paris Saint Germain
5,2022-08-31,21:00,Ligue 1,Matchweek 5,Wed,Away,W,3.0,0.0,Toulouse,3.0,0.8,62.0,31700.0,Marquinhos,3-4-3,Hakim Ben El Hadj Salem,Match Report,,21.0,12.0,13.6,2.0,0,0,2022,Paris Saint Germain
0,2022-08-07,15:00,Ligue 1,Matchweek 1,Sun,Home,W,3.0,2.0,Brest,3.0,1.3,61.0,37015.0,Seko Fofana,3-4-3,Thomas Léonard,Match Report,,15.0,6.0,12.3,0.0,0,1,2022,Lens
1,2022-08-14,15:00,Ligue 1,Matchweek 2,Sun,Away,D,0.0,0.0,Ajaccio,0.9,0.7,64.0,,Seko Fofana,3-4-3,Stéphanie Frappart,Match Report,,12.0,3.0,17.7,2.0,0,0,2022,Lens
2,2022-08-20,17:00,Ligue 1,Matchweek 3,Sat,Away,W,4.0,1.0,Monaco,2.8,1.2,54.0,,Seko Fofana,3-4-3,Willy Delajod,Match Report,,13.0,5.0,15.5,0.0,1,1,2022,Lens
3,2022-08-27,21:00,Ligue 1,Matchweek 4,Sat,Home,W,2.0,1.0,Rennes,1.4,1.0,51.0,,Seko Fofana,3-4-3,Jérôme Brisard,Match Report,,17.0,4.0,19.6,0.0,0,0,2022,Lens
4,2022-08-31,21:00,Ligue 1,Matchweek 5,Wed,Home,W,5.0,2.0,Lorient,2.7,1.2,57.0,,Florian Sotoca,3-4-3,Benoît Bastien,Match Report,,17.0,8.0,11.6,0.0,0,0,2022,Lens
0,2022-08-07,20:45,Ligue 1,Matchweek 1,Sun,Home,W,4.0,1.0,Reims,2.2,1.1,55.0,62738.0,Valentin Rongier,3-4-3,Jérôme Brisard,Match Report,,16.0,6.0,13.4,0.0,0,0,2022,Marseille
