,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
0,2022-08-05,20:00,Premier League,Matchweek 1,Fri,Away,W,2.0,0.0,Crystal Palace,1.0,0.9,43.0,25286.0,Martin Ødegaard,4-2-3-1,Anthony Taylor,Match Report,,10.0,2.0,15.0,1.0,0,0,2022,Arsenal
1,2022-08-13,15:00,Premier League,Matchweek 2,Sat,Home,W,4.0,2.0,Leicester City,2.6,0.6,51.0,60033.0,Martin Ødegaard,4-2-3-1,Darren England,Match Report,,19.0,7.0,12.6,0.0,0,0,2022,Arsenal
2,2022-08-20,17:30,Premier League,Matchweek 3,Sat,Away,W,3.0,0.0,Bournemouth,1.8,0.3,59.0,10423.0,Martin Ødegaard,4-2-3-1,Craig Pawson,Match Report,,14.0,6.0,14.6,0.0,0,0,2022,Arsenal
3,2022-08-27,17:30,Premier League,Matchweek 4,Sat,Home,W,2.0,1.0,Fulham,2.4,1.1,71.0,60164.0,Martin Ødegaard,4-2-3-1,Jarred Gillett,Match Report,,23.0,8.0,16.6,1.0,0,0,2022,Arsenal
4,2022-08-31,19:30,Premier League,Matchweek 5,Wed,Home,W,2.0,1.0,Aston Villa,2.7,0.2,59.0,60012.0,Martin Ødegaard,4-2-3-1,Robert Jones,Match Report,,22.0,8.0,15.3,1.0,0,0,2022,Arsenal
1,2022-08-07,16:30,Premier League,Matchweek 1,Sun,Away,W,2.0,0.0,West Ham,2.3,0.4,75.0,62443.0,İlkay Gündoğan,4-3-3,Michael Oliver,Match Report,,13.0,1.0,18.2,1.0,1,1,2022,Manchester City
2,2022-08-13,15:00,Premier League,Matchweek 2,Sat,Home,W,4.0,0.0,Bournemouth,1.6,0.1,67.0,53453.0,İlkay Gündoğan,4-3-3,David Coote,Match Report,,20.0,7.0,15.6,0.0,0,0,2022,Manchester City
3,2022-08-21,16:30,Premier League,Matchweek 3,Sun,Away,D,3.0,3.0,Newcastle Utd,2.7,1.8,69.0,52258.0,İlkay Gündoğan,4-3-3,Jarred Gillett,Match Report,,22.0,10.0,15.1,1.0,0,0,2022,Manchester City
4,2022-08-27,15:00,Premier League,Matchweek 4,Sat,Home,W,4.0,2.0,Crystal Palace,2.5,0.1,75.0,53112.0,Kevin De Bruyne,4-2-3-1,Darren England,Match Report,,18.0,5.0,13.1,0.0,0,0,2022,Manchester City
5,2022-08-31,19:30,Premier League,Matchweek 5,Wed,Home,W,6.0,0.0,Nott'ham Forest,3.7,0.4,74.0,53409.0,İlkay Gündoğan,4-4-2,Paul Tierney,Match Report,,17.0,9.0,14.1,0.0,0,0,2022,Manchester City
